id,"ctime","turbo_id","pair","direction","contract","return","strategy",timeleft
23877,"2017-06-23 06:36:43","wjwHwHAhEbpZ8NkMn","USD-CNH","short","1min","-100000","atr:stochs",19
23878,"2017-06-23 06:36:44","iHHbYLyfd25TmgaWq","USD-CNH","short","1min","-100000","atr:cci:stochs",19
23879,"2017-06-23 06:36:46","XyQv2fcDQLAHZL8ns","USD-CNH","short","1min","-100000","cci:stochs",19
23880,"2017-06-23 06:37:05","3k5Ye5WHiknnofqmB","EUR-GBP","long","1min","-100000","mfi:morningstar",57
23881,"2017-06-23 06:37:06","xe3KyfCSkJKhMbQkb","EUR-GBP","long","1min","-100000","atr:mfi:morningstar",57
23882,"2017-06-23 06:37:08","w6Ho9AySLgX6b2n84","EUR-GBP","long","1min","-100000","atr:morningstar",57
23883,"2017-06-23 06:37:09","fL6DhzoMronmEM62s","USD-CAD","long","1min","-100000","bullish:cci:mfi:stochs",57
23884,"2017-06-23 06:37:11","QdFrzdFPRipN8s3sa","USD-CAD","long","1min","-100000","bullish:mfi:stochs",57
23885,"2017-06-23 06:37:12","WGr6qDCk63rfKj2BN","USD-CAD","long","1min","-100000","bullish:cci:mfi",57
23886,"2017-06-23 06:37:14","EWx5sxzwyM6qzFhos","USD-CAD","long","1min","-100000","bullish:cci:stochs",57
23887,"2017-06-23 06:37:15","i5DLYXpLMq666w9Eo","USD-CAD","long","1min","-100000","bullish:stochs",57
23888,"2017-06-23 06:37:16","gmoWETCej3g5JPFXC","USD-CAD","long","1min","-100000","bullish:cci",57
23889,"2017-06-23 06:37:18","YiChSFn5Cm3bcvJXy","USD-CNH","short","1min","-100000","atr:cci:rsi:stochs",57
23890,"2017-06-23 06:37:19","7FgHNqaNPxk7EGv6i","USD-CNH","short","1min","-100000","cci:rsi:stochs",57
23891,"2017-06-23 06:37:21","cWr95jtcJmzBZXPfZ","USD-CNH","short","1min","-100000","atr:cci:rsi",57
23892,"2017-06-23 06:37:22","ahz9JHR8Wi3t6JPqz","USD-CNH","short","1min","-100000","cci:rsi",57
23893,"2017-06-23 06:37:23","NFJvr4tsRXM8bB7fC","USD-CNH","short","1min","-100000","atr:rsi:stochs",57
23894,"2017-06-23 06:37:25","HpCj3dGqvmgCXdod7","USD-CNH","short","1min","-100000","rsi:stochs",57
23895,"2017-06-23 06:37:26","GTdvu9NPfZDbTaQfe","USD-CNH","short","1min","-100000","atr:rsi",57
23896,"2017-06-23 06:37:28","uiJ7avSaRFWPEdDw9","USD-CHF","long","1min","70000","bullish:stochs",57
23897,"2017-06-23 06:37:29","BTvfmTojBwLjeggsW","USD-CHF","long","1min","70000","bullish:mfi:stochs",57
23898,"2017-06-23 06:37:31","fPdkxT5w5KCyYrX59","USD-CHF","long","1min","70000","bullish:haramicross:mfi:stochs",57
23899,"2017-06-23 06:37:32","We2oNtxeJ8Q9pobaT","USD-CHF","long","1min","70000","bullish:haramicross:stochs",57
23900,"2017-06-23 06:37:34","8sbYSnM34dskuBHDB","USD-CHF","long","1min","70000","haramicross:mfi:stochs",57
23901,"2017-06-23 06:37:35","8wQF44ytaBDz2EAiW","USD-CHF","long","1min","70000","haramicross:stochs",57
23902,"2017-06-23 06:37:36","fMu4QntaPfAHNsCfT","USD-CHF","long","1min","70000","bullish:mfi",57
23903,"2017-06-23 06:37:38","8SWEu3SWfNqSrroSG","USD-CHF","long","1min","70000","bullish:haramicross:mfi",57
23904,"2017-06-23 06:37:39","xjFk5YgBr22Yj3MMR","USD-CHF","long","1min","70000","bullish:haramicross",57
23905,"2017-06-23 06:37:41","yd2WKrLBT7tp42tc4","USD-CHF","long","1min","70000","haramicross:mfi",57
23906,"2017-06-23 06:37:52","kBb2NPorQu4bjQDwN","EUR-GBP","long","1min","-100000","bullish:mfi:morningstar",10
23907,"2017-06-23 06:37:53","AguCqed3YFHrDAZas","EUR-GBP","long","1min","-100000","bullish:morningstar",10
23908,"2017-06-23 06:38:01","xmnaFHya6DWiqQpuq","AUD-USD","long","1min","67000","atr:cci:dragonflydoji",1
23909,"2017-06-23 06:38:03","4cg3hE8YPkSSxGGo5","AUD-USD","long","1min","67000","atr:cci:dragonflydoji:mfi",1
23910,"2017-06-23 06:38:04","iBvtEun52fNgJdgJk","AUD-USD","long","1min","67000","cci:dragonflydoji",1
23911,"2017-06-23 06:38:06","xk8GgsfpnSFBPHgEu","AUD-USD","long","1min","67000","cci:dragonflydoji:mfi",1
23912,"2017-06-23 06:38:16","weEvP29YNurTnh8Ex","USD-MXN","long","1min","55000","bearish:mfi",46
23913,"2017-06-23 06:38:18","a9Dx2u6wY5kCcYh4t","AUD-USD","short","1min","-100000","atr:haramicross",46
23914,"2017-06-23 06:38:36","zavrqJg7Lgb8XpTEN","USD-CNH","long","1min","-100000","atr:mfi",26
23915,"2017-06-23 06:40:04","dxviD8r78YTecnG8v","USD-TRY","short","1min","55000","hangingman:rsi:stochs",58
23916,"2017-06-23 06:40:05","mAdWvt4FyoDJBdYjR","USD-TRY","short","1min","55000","hangingman:stochs",58
23917,"2017-06-23 06:40:07","yCGnw5TocmDqoeDSs","USD-TRY","short","1min","55000","hangingman:rsi",58
23918,"2017-06-23 06:40:12","mAYmfb43jH6hZKXFG","USD-TRY","short","1min","55000","atr:hangingman:rsi:stochs",50
23919,"2017-06-23 06:40:14","bnA2RqiadvFtkRmYY","USD-TRY","short","1min","55000","atr:hangingman:rsi",50
23920,"2017-06-23 06:40:15","SQGqhLaRKWqErs8TK","USD-TRY","short","1min","55000","atr:hangingman:stochs",50
23921,"2017-06-23 06:40:17","xhetrvYzXy89cSTTg","USD-TRY","short","1min","55000","atr:hangingman",50
23922,"2017-06-23 06:40:55","eeMQWDLNs7PMqvFd9","AUD-USD","short","1min","67000","hangingman:stochs",7
23923,"2017-06-23 06:40:57","pFFSpvPfqkPpMoh5K","AUD-USD","short","1min","67000","atr:hangingman:stochs",7
23924,"2017-06-23 06:41:01","fkdgd7j7XvSf5KmfA","USD-MXN","long","1min","55000","atr:mfi",1
23925,"2017-06-23 06:41:02","gMaap54DjmnS65jrW","USD-MXN","long","1min","55000","atr:macd:mfi",1
23926,"2017-06-23 06:41:04","GqoMPy6EkjWY2DKy6","USD-MXN","long","1min","55000","atr:macd",1
